country,libdem,partipdem,delibdem,egaldem
Brazil,0.5068888888888888,0.4399074074074074,0.5012592592592593,0.4086296296296296
China,0.05661111111111111,0.03601851851851852,0.1149074074074074,0.1167962962962963
India,0.48912962962962964,0.4015,0.549074074074074,0.40199999999999997
Russia,0.1162037037037037,0.15307407407407408,0.18064814814814814,0.23607407407407408
South Africa,0.38655555555555554,0.33161111111111113,0.4189814814814815,0.288462962962963
