country,region,libdem,partipdem,delibdem,egaldem,gdp_pc
Sao Tome and Principe,Africa,0.5643,0.4218,0.5071,0.48319999999999996,3.1915
Saudi Arabia,Middle East,0.0469,0.024399999999999998,0.0503,0.1071,35.088
Senegal,Africa,0.5609999999999999,0.4419,0.5985,0.5251,2.8032
Serbia,Eastern Europe,0.3806,0.3157,0.3463,0.3747,12.5501
Seychelles,Africa,0.44530000000000003,0.215,0.4221,0.4365,25.375
Sierra Leone,Africa,0.33,0.34400000000000003,0.4031,0.3064,1.6182
Singapore,Asia,0.33230000000000004,0.1104,0.35819999999999996,0.3658,64.9838
Slovakia,Eastern Europe,0.7372,0.6415,0.6722,0.681,27.752299999999998
Slovenia,Eastern Europe,0.7821,0.6849,0.7501,0.766,31.3575
Solomon Islands,Asia,0.44179999999999997,0.3245,0.3474,0.3111,2.3881
Somalia,Africa,0.1125,0.08839999999999999,0.1558,0.0633,1.6975
Somaliland,Africa,0.2476,0.2563,0.274,0.1701,NA
South Africa,Africa,0.6372,0.4963,0.6412,0.5065,11.4722
South Korea,Asia,0.6826,0.5224,0.6527000000000001,0.6649,37.079499999999996
South Sudan,Africa,0.06955555555555555,0.07366666666666667,0.05811111111111111,0.04066666666666667,22.4
Spain,The West,0.7895,0.6251,0.7717,0.7758,33.0456
Sri Lanka,Asia,0.3492,0.2996,0.3239,0.34199999999999997,11.0026
Sudan,Africa,0.0664,0.0975,0.0838,0.0672,4.2539
Suriname,Latin America,0.6246,0.4773,0.6144,0.5608,12.1755
Sweden,The West,0.8821,0.6638000000000001,0.8674,0.8513,45.8107
Switzerland,The West,0.8611,0.8064,0.8744,0.8361999999999999,53.8377
Syria,Middle East,0.0307,0.0494,0.0207,0.0752,4.4783
Taiwan,Asia,0.6996,0.6281,0.6963,0.7248,46.2706
Tajikistan,Eastern Europe,0.0532,0.0607,0.0601,0.0995,3.2769
Tanzania,Africa,0.3806,0.2895,0.3667,0.34909999999999997,2.2281
Thailand,Asia,0.21760000000000002,0.156,0.1786,0.2036,15.1592
The Gambia,Africa,0.2014,0.1984,0.1666,0.2318,2.1789
Timor-Leste,Asia,0.4818,0.3638,0.4365,0.3956,3.2736
Togo,Africa,0.2515,0.19419999999999998,0.3644,0.3438,1.5318
Trinidad and Tobago,Latin America,0.6468,0.4835,0.6423,0.6174,30.2971
Tunisia,Middle East,0.5437,0.38639999999999997,0.5806,0.5273,10.7164
Turkmenistan,Eastern Europe,0.0269,0.0339,0.0331,0.08810000000000001,19.8796
Türkiye,Middle East,0.2355,0.2728,0.2002,0.3054,20.4564
Uganda,Africa,0.2374,0.2261,0.2706,0.19899999999999998,1.9462
Ukraine,Eastern Europe,0.2512,0.2858,0.3403,0.3115,9.604
United Arab Emirates,Middle East,0.0882,0.0276,0.0826,0.1376,63.4828
United Kingdom,The West,0.7986000000000001,0.6342,0.7371,0.7373,38.519
United States of America,The West,0.818,0.6348,0.7865,0.7046,56.2698
Uruguay,Latin America,0.8434999999999999,0.7563,0.8477,0.8072,19.6239
Uzbekistan,Eastern Europe,0.0445,0.0433,0.08499999999999999,0.135,9.2391
Vanuatu,Asia,0.6271,0.4521,0.5902999999999999,0.5841999999999999,3.2105
Venezuela,Latin America,0.109,0.2242,0.1019,0.212,8.6479
Vietnam,Asia,0.1169,0.1711,0.1864,0.211,5.6341
Yemen,Middle East,0.0969,0.1111,0.1315,0.0725,2.4503
Zambia,Africa,0.3475,0.2824,0.3209,0.2754,2.8857
Zanzibar,Africa,0.2313,0.2035,0.2044,0.2625,NA
Zimbabwe,Africa,0.20350000000000001,0.2247,0.216,0.1819,2.7281
